Mã KH,Tên KH,Địa chỉ,Địa Bàn,Mã Số Thuế,Mã Nhóm,Đối Tác,Số ĐT
MCQT35,CTD QN - Quầy thuốc 35(Qt Loan Hiệp),"Thôn 9 xã Hải Xuân, thành phố Móng Cái, tỉnh Quảng Ninh","Xuân, thành phố Móng Cái",,04KVMCQN,Trần Thị Loan,0378 125 186
MCHUYEN,Phan Thanh Huyền,"Hữu Nghị, Hải Quân, Móng Cái, QN","Hải Quân, Móng Cái",,04KVMCQN,Phan Thanh Huyền,0946 098 198
MCQT75,Quầy thuốc số 75,"Thôn 8, Hà Đông, Móng Cái, QN","Hà Đông, Móng Cái",,04KVMCQN,Vũ Thị Ngọc Thu,0936399998
MCQTHUYENTRANG,Quầy thuốc Huyền Trang,"Thôn 11 Hải Đông, Móng cái, QN","Thôn 11 Hải Đông, Móng cái",,04KVMCQN,QT Huyền Trang,01689 327 002
MCLOAN,Nhà thuốc chị Loan,"thôn 9, Xã Hải Xuân, Móng cái, Quảng Ninh","Hải Xuân, Móng cái",,04KVMCQN,chị Loan,
MCOANH,CTD - Quầy thuốc Thắm Oanh (Quầy số 08),"Số 12 Trần Phú, Móng Cái, QN","Trần Phú, Móng Cái",,04KVMCQN,Phạm Thị Ngọc Oanh,0934818868
MCNTTHANHLUYEN,Nhà Thuốc Thanh Luyến,"Số 56 Vân Đồn, Khu 2 Trần Phú, Móng Cái, Quảng Ninh","Phú, Móng Cái",,04KVMCQN,Ngô Thị Luyến,0985 476 708
MCCHITUYET,CTD - Quầy số 10,"27 Trần Nhân Tông, Khu 8 phường Hải Hà, TP Móng Cái, QN","Hà, TP Móng Cái",,04KVMCQN,Bùi Thị Tuyết,0912622158
MCQT03,Nhà thuốc Tiên Phong (cũ là QT03-CTD),"Cổng bệnh viện Móng Cái, TP Móng Cái, Quảng Ninh",TP Móng Cái,,04KVMCQN,Đỗ Văn Tiên,0948 678 568
MCPKTAMPHUC,Nt pk Tâm Đức,"129a Vân Đồn, phường Trần Phú, TP Móng Cái, tỉnh Quảng Ninh",TP Móng Cái,,04KVMCQN,Lê Thanh Tú,0338550707
MCHANHI,Nhà thuốc An Hạ Nhi,"24 Hà Tiên, phường KaLong, tp Móng Cái, tỉnh Quảng Ninh","Long, tp Móng Cái",,04KVMCQN,Hồ Thị Thùy Dung,0979535635
MCQTTHUONGTHU,Quầy thuốc Thượng Thu,"Thôn 10A xã Hải Xuân, tp Móng Cái, tỉnh Quảng Ninh","Xuân, tp Móng Cái",,04KVMCQN,Trần Thị Thu,0347392552
MCPKDANBSDUNG,Phòng khám sản phụ khoa Móng Cái - Bs Phạm Thị Dung,"144B Hùng Vương, KaLong, Móng Cái, Quảng Ninh","Long, Móng Cái",,04KVMCQN,Phạm Thị Dung,0982981128
MCNINHDUONG,Nhà thuốc Ninh Dương,"Khu Thượng Trung, Ninh Dương, TP Móng Cái, Tỉnh Quảng Ninh",Móng Cái,,04KVMCQN,Lê Thị Thảo,0984855920
MCNT363,Nhà thuốc 363,"363 đường Hùng Vương, phường Hải Yên, tp Móng Cái, tỉnh Quảng Ninh","Yên, tp Móng Cái",,04KVMCQN,Hoàng Thị Nhài,0975573365
MCGIAHUNG,Quầy thuốc Gia Hưng,"144 Thôn Bắc, P Vạn Ninh, Móng Cái, Quảng Ninh","Ninh, Móng Cái",,04KVMCQN,Hoàng Thị Hạnh,0357509888
MC.THUTRANG,Quầy TPCN Thu Trang,"Thôn 3 xã Hải Xuân, Móng Cái, Quảng Ninh","Xuân, Móng Cái",,04KVMCQN,Nguyễn Thị Thu Trang,0976457845
MCVANTRANG,Quầy thuốc Vân Trang,"71 Tô Hiệu, phường Ka Long, tp Móng Cái, tỉnh Quảng Ninh","Long, tp Móng Cái",,04KVMCQN,Phạm Thành Ngân,0366258818
MCQTBSQY,Quầy thuốc Bác Sỹ Quân Y,"388 Trần Quốc Tảng, khu 4, tp Móng Cái, tỉnh Quảng Ninh","Tảng, khu 4, tp Móng Cái",,04KVMCQN,Đoàn Thị Thu Giang,0373003088
MC1NTDN15,Nhà thuốc Doanh nghiệp số 15,"Thôn 10 xã Hải Xuân, TP Móng Cái, Tỉnh Quảng Ninh",Móng Cái,,04KVMCQN,Phan Thanh Huyền,0946 098 198
MC1OANHVU,Quầy thuốc doanh nghiệp Oanh Vũ,"Thôn 10A xã Hải Xuân, TP Móng Cái, tỉnh Quảng Ninh",TP Móng Cái,,04KVMCQN,Nguyễn Thị Lơ,01694522669
MCNHUNGTHAI,Nhà Thuốc Nhung Thái,"560 Đoan Tĩnh, phường Hải Yên, tp Móng Cái, tỉnh Quảng Ninh","Yên, tp Móng Cái",,04KVMCQN,Thái Thị Nhung,0364083119
MCKIEUTHUY,Nhà thuốc Kiều Thúy,"Khu 8 phường Hải Hòa, tp Móng Cái, tỉnh Quảng Ninh","Hòa, tp Móng Cái",,04KVMCQN,Nguyễn Kiều Thúy,0339616666
MCNTMAIHOA,Nhà thuốc doanh nghiệp số 15 Mai Hoa - CTD Bạch Đằng,"Số 222 Khu 3 phường Hải Hòa, TP Móng Cái, tỉnh Quảng Ninh",TP Móng Cái,,04KVMCQN,Mạc Thị Hằng,0974573960
MCNTMINHHIEN,Nhà Thuốc Minh Hiền,"Số 61 đường Ngọc Sơn, kh 4, phường Bình Ngọc, tp Móng Cái, tỉnh Quảng Ninh","Ngọc, tp Móng Cái",,04KVMCQN,Phạm Văn Minh,0359007546
MCQT121,Quầy thuốc 121 - Nguyễn Thị Luyến,"Khu 5 phường Hải Hòa, TP Móng Cái, Tỉnh Quảng Ninh",Móng Cái,,04KVMCQN,Nguyễn Thị Luyến,0976129285
MCQT60,Quầy thuốc 60,"128 Trần Nhân Tông, phường Hải Xuân, tp Móng Cái, tỉnh Quảng Ninh","Xuân, tp Móng Cái",,04KVMCQN,Trương Thị Hoài,098 9380127
MC.THANHHUNG,Nhà thuốc Thành Hưng,"9 Trần Phú, phường Trần Phú, TP Móng Cái, Tỉnh Quảng Ninh",Móng Cái,,04KVMCQN,Vũ Thị Hồng Nhung,0789039888
MCHAITIEN,Quầy thuốc Hải Tiến,"Km 13 thôn 8 xã Hải Tiến, TP Móng Cái, tỉnh Quảng Ninh",TP Móng Cái,,04KVMCQN,Bùi Lệ Tuyết,0972325162
MCLINHCHI,Quầy TPCN Linh Chi,"89 Lạc Long, Đông Thịnh, Trà Cổ, TP Móng Cái, Tỉnh Quảng Ninh",Móng Cái,,04KVMCQN,Đỗ Cao Học,0901569929
MCQT18,Quầy thuốc 18 - Nguyễn Thị Kim Vĩnh,"108 Hùng Vương, phường KaLong, tp Móng Cái, tỉnh Quảng Ninh","Long, tp Móng Cái",,04KVMCQN,Nguyễn Thị Kim Vĩnh,0333882293
MCXUANPHUONG,Quầy thuốc Xuân Phương,"Thôn 12 xã Hải Xuân, tp Móng Cái, tỉnh Quảng Ninh","Xuân, tp Móng Cái",,04KVMCQN,Nguyễn Thị Xuân,0948328698
MCQUYNHHOA,Quầy thuốc Quỳnh Hoa,"Tổ 6 khu Đông Thịnh, phường Trà Cổ, tp Móng Cái, tỉnh Quảng Ninh","Cổ, tp Móng Cái",,04KVMCQN,Chị Nhung,0373113950
MCHANOI,Nhà thuốc Hà Nội,"Số 1 Trần Quốc Tảng, P.Hải Hòa, TP. Móng Cái, T.Quảng Ninh",Móng Cái,,04KVMCQN,DS Hòa,0968 311 190
MCHAIHOA,Nhà thuốc Hải Hòa,"khu 4 phường Hải Hòa, tp Móng Cái, tỉnh Quảng Ninh","Hòa, tp Móng Cái",,04KVMCQN,Nguyễn Thị Hoan,0972 683 308
MCQT43,Phòng khám đa khoa Y Đức Hà Nội - QT43,"144B Hùng Vương, phường KaLong, tp Móng Cái, tỉnh Quảng Ninh","Long, tp Móng Cái",,04KVMCQN,Hoàng Văn  Bình,0934 396 698
MCBAOCHINH,Nhà thuốc Bảo Chinh,"99B Hùng Vương, phường Kalong, TP Móng Cái, Tỉnh Quảng Ninh",Móng Cái,,04KVMCQN,Bùi Thị Chinh,0976576366
MCNAMVIET,Nt pk đa khoa Nam Việt - Nhà thuốc Nam Việt,"23 Trần Quốc Toản, phường Hòa Lạc, tp Móng Cái, tỉnh Quảng Ninh","Lạc, tp Móng Cái",,04KVMCQN,Lê Quang Diệp,0964002899
MCMACHANG,CTD QN - Quầy thuốc 13,"Khu 7 p Hải Yên, Móng Cái, Quảng Ninh","Yên, Móng Cái",,04KVMCQN,Mạc Thị Hằng,0989123450
MCBAOLONG,Nhà thuốc Bảo Long,"Số 181 đường Tuệ Tĩnh, phường KaLong, thành phố Móng Cái, tỉnh Quảng Ninh","Long, thành phố Móng Cái",,04KVMCQN,Ngô Thanh Hường,0913370916
MCHANHTHUY,Nhà thuốc Thanh Thúy,"474 đường Hùng Vương(Km7), phường Hải Yên, tp Móng Cái, tỉnh Quảng Ninh","Yên, tp Móng Cái",,04KVMCQN,Nguyễn Kim Tiện,0979 450 650
MCNTTHUTHAI,Nhà thuốc Thư Thái,"201 Đoan Tĩnh, Hải Yên, TP Móng Cái, Tỉnh Quảng Ninh",Móng Cái,,04KVMCQN,Bá Thị Anh Thư,0936757397
MCNGOCTHINH,Nhà thuốc PK Ngọc Thịnh,"377 Trần Quốc Tảng, khu 4 phường Hải Hòa, tp Móng Cái, tỉnh Quảng Ninh","Hòa, tp Móng Cái",,04KVMCQN,Phùng Thị Mai,0334 632 827
MC.THANHLOAN,Quầy thuốc Thanh Loan,"km10 Thôn 7 xã Hải Đông, TP Móng Cái, Tỉnh Quảng Ninh",Móng Cái,,04KVMCQN,Trần Thị Loan,0344 280 686
MCPHAMHUYEN,Quầy thuốc Huyền My,"Thôn 7 xã Hải Đông, tp Móng Cái, tỉnh Quảng Ninh","Đông, tp Móng Cái",,04KVMCQN,Phạm Thị Thanh Huyền,0382637687
MCDUNGTUNG,Quầy thuốc DN Tùng Dung,"Thôn 10A, xã Hải Xuân, tp Móng Cái, tỉnh Quảng Ninh","Xuân, tp Móng Cái",,04KVMCQN,Nguyễn Thị Dung,0934 206 187
MCGIAHUY,Quầy thuốc Gia Huy,"11 Liên Thôn, thôn Trung, xã Vạn Ninh, TP Móng Cái, Tỉnh Quảng Ninh",Móng Cái,,04KVMCQN,Hoàng Văn Nam,0964112551
MC.THAIBINH,Nhà thuốc Long Đạt,"285 Tuệ Tĩnh, p KaLong, tp Móng Cái, tỉnh Quảng Ninh","Long, tp Móng Cái",,04KVMCQN,Trần Thu Huyền,0979730900
MCQTTHAIBINH,Quầy thuốc Thái Bình,"182 Trần Quốc Tảng khu 3 p Hải Hòa, tp Móng Cái, tỉnh Quảng Ninh","Hòa, tp Móng Cái",,04KVMCQN,Trần Vân Anh,0973032439
MCLAMANH,Nhà thuốc Lâm Anh,"Thôn 5, Phường Hải Yên, TP Móng Cái, Quảng Ninh",TP Móng Cái,,04KVMCQN,Bùi Thị Huyền,0989412925
MCKIMHOA,Phòng khám phụ sản Kim Hoa,"Số 2 Phan Đình Giót, phường KaLong, TP Móng Cái, Tỉnh Quảng Ninh",Móng Cái,,04KVMCQN,Ngô Ngoan Sản,0973365082
MCNTTHANHHUYEN,Nhà thuốc Thanh Huyền,"221 Trần Quốc Toản, khu 3, phường Hải Hòa, tp Móng Cái, tỉnh Quảng Ninh","Hòa, tp Móng Cái",,04KVMCQN,Nguyễn Thị Thanh Huyền,0365577525
MCVINHNHUNG,Nhà Thuốc Vĩnh Nhung - Công ty CP dược VTYT Quảng Ninh,"Số nhà 108B đường Hùng Vương, phường KaLong, tp Móng Cái, tỉnh Quảng Ninh","Long, tp Móng Cái",,04KVMCQN,Nguyễn Thị Hồng Nhung,0976881753
NQHUE,Nhà thuốc tốt và sức khỏe,"Số 9D 24 Nguyễn Bình, Ngô Quyền, Hải Phòng","Bình, Ngô Quyền",,04KVNGOQUYEN2,C Huế,090 6196906
NQCHIHA,Quầy thuốc Thanh Hà,"129 Phương Lưu, quận Ngô Quyền, thành phố Hải Phòng","Lưu, quận Ngô Quyền",,04KVNGOQUYEN2,Thanh Hà,0225 654 3068
NQVANANH,Nhà thuốc Vân Anh,"14 Đà Nẵng, Ngô Quyền , HP","Đà Nẵng, Ngô Quyền ",,04KVNGOQUYEN2,Lê Thị Hồng Nhung,0904792036
NQYEN,Nhà thuốc 129,"Số 129 Phố Cấm, Ngô Quyền, Hải Phòng","Cấm, Ngô Quyền",,04KVNGOQUYEN2,Lê Thị Hải Yến,02253 655 316
NQMINHANH,Nhà thuốc Minh Anh,"62 Phủ Thượng Đoạn, Vạn Mỹ, Ngô Quyền, Hải Phòng","Mỹ, Ngô Quyền",,04KVNGOQUYEN2,Nguyễn Thị Thu Hương,0975685484
NQNTANHDUNG,Nhà thuốc Anh Dũng,"185 Đông Khê, quận Ngô Quyền, tp Hải Phòng","Khê, quận Ngô Quyền",,04KVNGOQUYEN2,DS Hương,0936311086
NQBAOTAN,Nhà thuốc Bảo Tâm,"24B A6 đường Vòng Vạn Mỹ, Ngô Quyền, Hải Phòng","Mỹ, Ngô Quyền",,04KVNGOQUYEN2,DS Dịu,0974375076
NQTUANNGOCTHUY,Thú y Tuấn Ngọc,"339 An Đà, phường Đằng Giang, quận Ngô Quyền, tp Hải Phòng","Giang, quận Ngô Quyền",,04KVNGOQUYEN2,Nguyễn Duy Sơn,0394767809
KTTTHUYHANGTHUY,Phòng khám thú y Thúy Hằng,"Việt Tiến 3, xã Đại Hợp, huyện Kiến Thụy, tp Hải Phòng","Hợp, huyện Kiến Thụy",,04KVNGOQUYEN2,Bùi Thúy Hằng,0388554109
KTPETSMILE,PK thú y Pet Smile,"THôn 4 Tú Sơn, huyện Kiến Thụy, tp Hải Phòng","Sơn, huyện Kiến Thụy",,04KVNGOQUYEN2,Bùi Trọng Toàn,0337620174
NQPKDAKHOA,Phòng khám đa khoa 268 Đà Nẵng - Đa khoa Hải Phòng,"268 đường Đà Nẵng, phường Cầu Tre, quận Ngô Quyền, tp Hải Phòng",Ngô Quyền,,04KVNGOQUYEN2,Ds Hương,0973414486
NQNT176,Nhà thuốc 176,"176 Lê Lai, p.Máy Chai, q.Ngô Quyền, TPHP","Máy Chai, q.Ngô Quyền",,04KVNGOQUYEN2,Lâm Thị Thanh Hồng,079 326 3321
NQPKPHUONGHUY,Phòng khám nhi Bs Phương Đức Huy,"77 An Đà, phường Đằng Giang, quận Ngô Quyền, tp Hải Phòng","Giang, quận Ngô Quyền",,04KVNGOQUYEN2,Phương Đức Huy,0971989102
NQCHAULINH,Nhà thuốc Châu Linh,"Lô số 5/33/112A Ngô Quyền, phường Máy Chai, quận Ngô Quyền, tp Hải Phòng","Chai, quận Ngô Quyền",,04KVNGOQUYEN2,,0352543545
NQVUHANG,Nt pk dịch vụ y tế Vũ Thị Hằng,"41 Tập thể xây dựng, Ngõ 258 Đà Nẵng, Quận Ngô Quyền, Thành phố Hải Phòng",Ngô Quyền,,04KVNGOQUYEN2,Vũ Thị Hằng,0903438268
NQLONGHIEU,Nhà thuốc Long Hiếu,"8A1 An Đà, phường Đằng Giang, quận Ngô Quyền, tp Hải Phòng","Giang, quận Ngô Quyền",,04KVNGOQUYEN2,Đinh Ngọc Bình,0983124445
NQNTTAMAN,Nhà thuốc Tâm An,"Đối diện cổng BV Đông Khê, quận Ngô Quyền, thành phố Hải Phòng","Khê, quận Ngô Quyền",,04KVNGOQUYEN2,,0987861480
NQTHUYNGA,Nhà thuốc Thúy Nga 2,"546 lô 22 Lê Hồng Phong, phường Đông Khê, quận Ngô Quyền, tp Hải Phòng","Khê, quận Ngô Quyền",,04KVNGOQUYEN2,Đinh ThịThúy Nga,0936793094
NQNT109,Nhà thuốc 108,"108 Máy Chai, Ngô Quyền, Hải Phòng","Chai, Ngô Quyền",,04KVNGOQUYEN2,Nguyễn Thị Hương Sen,0915623166
NQTHANHTIEN,HTHP - Nhà thuốc Thanh Tiến,"411 Đà Nẵng, p Đông Hải 1, q Hải An, Tp.Hải Phòng",Hải An,,04KVNGOQUYEN2,DS Thanh,0931585000
NQNGUYENHUE,Quầy thuốc Nguyễn Huệ,"254 Đà Nẵng, phường Cầu Tre, quận Ngô Quyền, tp Hải Phòng","Tre, quận Ngô Quyền",,04KVNGOQUYEN2,Nguyễn Thị Huệ,0963401269
NQBAOLONG,Nhà thuốc Bảo Long,"Số 01 lô A18 Khu tập thể An Đà, Đằng Giang, Ngô Quyền, Hải Phòng","Giang, Ngô Quyền",,04KVNGOQUYEN2,Nguyễn Long An,0985301083
NQMYVAN,Nhà thuốc Mỹ Vân,"62 An Đà, phường Đằng Giang, quận Ngô Quyền, tp Hải Phòng","Giang, quận Ngô Quyền",,04KVNGOQUYEN2,Vũ Thị Hồng Vân,0904547376
NQTRANLIEN,Nt pk Trần Thị Kim Liên,"12A8 Thái Phiên, Ngõ 258 Đà Nẵng, Quận Ngô Quyền, Thành phố Hải Phòng",Ngô Quyền,,04KVNGOQUYEN2,Trần Thị Kim Liên,0904644644
NGPKTRANGTHANG,Nt pk răng Trang Thắng,"Chợ Mè, Hồng Đức, Ninh Giang, tỉnh Hải Dương","Đức, Ninh Giang",,04KVNINHGIANG,Đỗ Thị Trang,0965529812
NGPKNKACHAU,Nt pk nha khoa Á Châu,"262 Nguyễn Lương Bằng, huyện Ninh Giang, tỉnh Hải Dương","Bằng, huyện Ninh Giang",,04KVNINHGIANG,DS Dung,0986882143
NGPKNKHANOI,Nt pk nha khoa Hà Nội,"Tế Cầu, xã Hồng Đức, huyện Ninh Giang, tỉnh Hải Dương","Đức, huyện Ninh Giang",,04KVNINHGIANG,Nguyễn Thị Ngọc,0947172602
NGPKNKTHANHNGOC,Nt pk nha khoa Thanh Ngọc,"Cầu Ràm, xã Tâ Hương, huyện Ninh Giang, tỉnh Hải Dương","Hương, huyện Ninh Giang",,04KVNINHGIANG,Đào Thị Ngọc,0389626448
NGPKNKQUANGHOP,Nt pk nha khoa Quang Hợp,"Quán Tranh, xã Đồng Tâm, huyện Ninh Giang, tỉnh Hải Dương","Tâm, huyện Ninh Giang",,04KVNINHGIANG,Quang Hợp,0983760031
NGTINH,Quầy thuốc Thu Tình,"Chợ Bồng Lai, Ninh Hải, Ninh Giang, Hải Dương","Hải, Ninh Giang",,04KVNINHGIANG,DS. Nguyễn Thị Tình,0986 233 311
NGDAOCHIEN,Quầy thuốc Minh Thái,"thôn Thanh Mai, xã Hiệp Lực, huyện Ninh Giang, tỉnh Hải Dương","Lực, huyện Ninh Giang",,04KVNINHGIANG,Đào Thị Chiền,0975360820
NGTANDUOC,Quầy thuốc tân dược - Anh Hoan,"Chợ vé, Đồng Tâm, Ninh Giang, Hải Dương","Tâm, Ninh Giang",,04KVNINHGIANG,Anh Hoan,
NGDUCNAM,Quầy Thuốc Đức Nam,"Khu 6 TT Ninh Giang, Ninh Giang, Hải Dương","Giang, Ninh Giang",,04KVNINHGIANG,Nguyễn Thị Lựu,0974068521
NGKIEU,Chú Kiễu - Cty TNHH Thành Đông,"Cầu Ràm, xã Nghĩa An, huyện Ninh Giang, tỉnh Hải Dương","An, huyện Ninh Giang",,04KVNINHGIANG,Bùi Như Kiễu,0988 473 734
NGTHEU,Quầy thuốc Tư Thêu,"Xóm 2, Thôn Đỗ Xá, xã ứng Hòe, huyện Ninh Giang, tỉnh Hải Dương","Hòe, huyện Ninh Giang",,04KVNINHGIANG,Nguyễn Thị Thêu,0973 649 074
NGQUYEN,Quầy thuốc Phạm Thị Quyên,"Hàn Lý, Hưng Long, Ninh Giang, Hải Dương","Long, Ninh Giang",,04KVNINHGIANG,Phạm Thị Quyên,0973 713 038
NGHUE,Quầy thuốc 39,"Thô 4, Tân Hương, Ninh Giang, Hải Dương","Hương, Ninh Giang",,04KVNINHGIANG,Đào Thị Huê,038 853 3685
NGTHUHANG,Quầy thuốc Thu Hằng,"hàn Lý, xã Hưng Long, huyện Ninh Giang, tỉnh Hải Dương","Long, huyện Ninh Giang",,04KVNINHGIANG,Nguyễn Thị Thu Hằng,0363873088
NGQTSO7,Quầy thuốc số 7 - Bùi Thị Phương,"Đường Liên xã Hồng Phúc, huyện Ninh Giang, tỉnh Hải Dương","Phúc, huyện Ninh Giang",,04KVNINHGIANG,Bùi Thị Phương,0982307132
NGTHULAN,Quầy thuốc Thu Làn,"xã Kiến Quốc, huyện Ninh Giang, tỉnh Hải Dương","Quốc, huyện Ninh Giang",,04KVNINHGIANG,DS Làn,0987876185
NGANTAM,Quầy thuốc An Tâm,"Thôn Vé, xã Đồng Tâm, huyện Ninh Giang,Tỉnh Hải Dương",Ninh Giang,,04KVNINHGIANG,Nguyễn Bá Quang,
NGDOANNGUYEN,Quầy thuốc Đoàn Nguyên,"Thôn Kim Chế, xã An Đức, huyện Ninh Giang,Tỉnh Hải Dương",Ninh Giang,,04KVNINHGIANG,Đoàn Thị Thu Nguyên,0383774124
NGMINHTRANG,Quầy thuốc Minh Trang,"xã Tân Hương, huyện Ninh Giang,Tỉnh Hải Dương",Ninh Giang,,04KVNINHGIANG,Nguyễn Thị Minh Trang,0374238563
NGLINHCHIEN,Quầy thuốc Linh Chiến,"Chợ Bò, Hồng Phong, Ninh Giang, HD","Hồng Phong, Ninh Giang",,04KVNINHGIANG,Phạm Thị Khánh Linh,0377582352
NGNGOCYEN,Quầy thuốc Ngọc Yến,"Ngã tư Đông Cao, xã Đông Xuyên, huyện Ninh Giang, tỉnh Hải Dương","Xuyên, huyện Ninh Giang",,04KVNINHGIANG,Phạm Yến,0974721556
NGTRANDIU,Quầy thuốc Trần Dịu,"Cầu Ràm, xã Nghĩa An huyện Ninh Giang, tỉnh Hải Dương",An huyện Ninh Giang,,04KVNINHGIANG,,
NGTHIENPHU,Quầy thuốc Thiên Phú - Ds Thủy,"Thôn Cúc Bồ, xã Kiến Quốc, huyện Ninh Giang, tỉnh Hải Dương","Quốc, huyện Ninh Giang",,04KVNINHGIANG,Ds Thủy,0393981315
NGLETATTIEN,Quầy thuốc Lê Tất Tiền,"Đoan Xuyên, xã Ninh Hòa, huyện Ninh Giang, tỉnh Hải Dương","Hòa, huyện Ninh Giang",,04KVNINHGIANG,Lê Tất Tiền,0984365740
NGYENHUNG,Quầy thuốc Yến Hưng,"Chợ Bùi, xã Tân Quang, huyện Ninh Giang, tỉnh Hải Dương","Quang, huyện Ninh Giang",,04KVNINHGIANG,Ds Yến,0339587999
NGQT36,Quầy thuốc số 36 - Bùi Thị Ngọc,"thôn Đông Cao, xã Đông Xuyên, huyện Ninh Giang, Hải Dương","Xuyên, huyện Ninh Giang",,04KVNINHGIANG,Bùi Thị Ngọc,03408975865
NGSINHTUAN,Quầy thuốc Phương Thảo,"Thôn Đoàn Xá, xã Tân Quang, huyện Ninh Giang,Tỉnh Hải Dương",Ninh Giang,,04KVNINHGIANG,Hồng Thị Sinh,0366502661
NGLINHNGA,Quầy thuốc Linh Nga,"Chợ Bùi, xã Hoàng Hanh, huyện Ninh Giang, tỉnh Hải Dương","Hanh, huyện Ninh Giang",,04KVNINHGIANG,Nguyễn Thị Nga,0975222161
NGHIYEN,Quầy thuốc Chung Yến,"Tân Hương, Ninh Giang, Hải Dương","Hương, Ninh Giang",,04KVNINHGIANG,,034 8351923
NGCHIOANH,Chị Oanh,"Ninh Giang, Hải Dương",,,04KVNINHGIANG,Chị Oanh,
NGQTSO3,Quầy thuốc số 03,"Vĩnh Hòa, Ninh Giang, Hải Dương","Hòa, Ninh Giang",,04KVNINHGIANG,Nguyễn Thị Quế,0399421522
NGMINHANH,Quầy thuốc Minh Anh,"145 Hồng Châu, TT Ninh Giang, huyện Ninh Giang, tỉnh Hải Dương","Giang, huyện Ninh Giang",,04KVNINHGIANG,,0968 238 398
NGQTSO9,Quầy thuốc số 09 (Qt Thiên Phú),"xã Quang Hưng, huyện Ninh Giang, tỉnh Hải Dương","Hưng, huyện Ninh Giang",,04KVNINHGIANG,Phạm Thị Hồng Duyên,0397 656 959
NGPHUONGTHAO,Quầy thuốc Phương Thảo,"thôn Đoàn Xá, xã Tân Quang, huyện Ninh Giang, tỉnh Hải Dương","Quang, huyện Ninh Giang",,04KVNINHGIANG,Hồng Thị Sinh,0366502661
NGQT19,Quầy thuốc số 19,"xã Kiến Quốc, huyện Ninh Giang, tỉnh Hải Dương","Quốc, huyện Ninh Giang",,04KVNINHGIANG,Phạm Thị Khương,0353 078 279
NGDUCPHUC,Quầy Thuốc Đức Phúc,"Hồng Thái, Ninh Giang, Hải Dương","Thái, Ninh Giang",,04KVNINHGIANG,,
NGTHANHHUYEN,Quầy thuốc Thanh Huyền,"TT Ninh Giang, huyện Ninh Giang, tỉnh Hải Dương","Giang, huyện Ninh Giang",,04KVNINHGIANG,Vũ Thị Hoa Mai,03203764563
NGHATHANG,Quầy thuốc Thắng Hà,"Chợ vé, Đồng Tâm, Ninh Giang, Hải Dương","Tâm, Ninh Giang",,04KVNINHGIANG,Bùi Thu Hà,0393 225 193
NGNGUYENXUAN,Quầy thuốc Nguyễn Xuân,"Thôn 2 xã Vạn Phúc, huyện Ninh Giang,Tỉnh Hải Dương",Ninh Giang,,04KVNINHGIANG,Nguyễn Thị Xuân,0972343096
NGHAHANH,Quầy thuốc Hà Vĩ Hạnh,"thôn An Rặc, xã Hồng Dụ, huyện Ninh Giang, tỉnh Hải Dương","Dụ, huyện Ninh Giang",,04KVNINHGIANG,DS Hạnh,0988.408.621
NSDOPHUONG,Quầy thuốc Đỗ Thị Phương,"Đông Thôn, xã Quốc Tuấn, huyện Nam Sách, tỉnh Hải Dương","Tuấn, huyện Nam Sách",,04KVNINHGIANG,Đỗ Thị Phương,0943627266
NGPHIMEN,Quầy thuốc Hiếu Mến (22) - Phí Thị Mến,"Thôn Đoàn Xá, xã Tân Quang, huyện Ninh Giang, tỉnh Hải Dương","Quang, huyện Ninh Giang",,04KVNINHGIANG,Phí Thị Mến,0965499756
NGTHANHNEN,Quầy thuốc Thanh Nến,"xã Đồng Lạc, xã Hồng Đức, huyện Ninh Giang, tỉnh Hải Dương","Đức, huyện Ninh Giang",,04KVNINHGIANG,Nguyễn Thị Nến,0344994367
NGVANPHUC,Quầy thuốc Vạn Phúc,"Thôn 2 xã Vạn Khúc, huyện Ninh Giang, tỉnh Hải Dương","Khúc, huyện Ninh Giang",,04KVNINHGIANG,Phạm Thị Thủy,0966045956
NGNINHHOA,Quầy thuốc Ninh Hòa,"Thôn Đan Xuyên, xã Ninh Hòa, huyện Ninh Giang, tỉnh Hải Dương","Hòa, huyện Ninh Giang",,04KVNINHGIANG,Bùi Thị Giáng (Nhất Nguyên),0374973958
NSHAIYEN,Quầy thuốc Hải Yến,"90 Nguyễn Đức Sáu, TT Nam Sách, huyện Nam Sách, tỉnh Hải Dương","Sách, huyện Nam Sách",,04KVNINHGIANG,Vương Thị Hải Yến,0984971556
NGTHUHUONG,Quầy thuốc Thu Hường,"Ninh Hải, Ninh Giang, tỉnh Hải Dương","Hải, Ninh Giang",,04KVNINHGIANG,Phạm Thị Hường,0348871073
NGMANHDUNG,Quầy thuốc Mạnh Dung,"192 Trần Hưng Đạo, khu 3, TT Ninh Giang, huyện Ninh Giang, tỉnh Hải Dương","Giang, huyện Ninh Giang",,04KVNINHGIANG,Hà Thị Dung,0967441211
NGNHUONG,Quầy thuốc Hà Nhường,"thôn Do Nghĩa, xã Nghĩa An, huyện Ninh Giang, tỉnh Hải Dương","An, huyện Ninh Giang",,04KVNINHGIANG,Hà Thị Nhường,0392592205
NGPHAMTHUY,Quầy thuốc Trọng Nguyên,"Quang Hưng, Ninh Giang, Hải Dương","Hưng, Ninh Giang",,04KVNINHGIANG,Phạm Thị Thủy,0962162910
